hgnc_symbol	SLA1216	SLA2015_281116	SLA3014	SLA3315	SLA416	SLA615	SLA715	c258	c757	c840	c844
FAM9C	0.17	0	0	0	0.04	0	0	0	0	0	0
FAN1	0.13	2.5	3.57	3.17	0.58	1.81	1.73	0	0.18	0	0
FANCA	0.33	2.01	5.75	2.65	1.69	1.97	2.38	0	0.18	0	0.04
FANCB	0.56	0.46	0	0.44	0	0.3	0.19	0.1	0.01	0	0
FANCC	0.51	0.93	0.23	0.64	0.06	1.32	0.33	0	0.05	0.98	0
FANCD2	1	2.53	2.11	2.65	1.2	1.65	0.8	0.11	0.24	0.04	0
FANCD2OS	0.76	0	0	0	0	0.46	0	0	0	0	0
FANCD2P2	0	0	0	0	0	0	0	0	0	0	0
FANCE	0	0.17	0.46	1.04	0.18	0.18	0.26	0	0	0	0
FANCF	0.17	0.51	0.35	0.97	0.04	0.37	0.46	0	0	0.05	0
FANCG	0.53	2.05	1.2	3.23	0.6	1.52	0.77	0	0	0.11	0
FANCI	0.49	1.89	0.24	1.22	0.45	1.44	0.89	0	0.09	0.07	0
FANCL	5.31	5.64	4.36	3.46	0.72	0.88	2.23	0	0.09	0	0
FANCM	0.71	1.98	1.13	1.03	0.7	1.59	0.62	0	0.11	0.09	0
FANK1	0.19	0.8	0	0.16	0	0	0	0	0.03	0	0
FANK1-AS1	0	0	0	0	0	0	0	0	0	0	0
FAP	0	0	0	0	0	0	0	0	0	0	0
FAR1	1.26	6.49	8.19	13.71	1.78	6.61	6.74	0.91	0.81	2.52	0.04
FAR1-IT1	0	1.04	0	1.37	0	0.58	1.13	0	0.23	0	0
FAR1P1	0	0	0	0	0	0	0	0	0	0	0
FAR2	0.45	1.96	0.94	2.95	0.86	1.28	2.72	0	0.07	0.06	0
FAR2P1	1.8	0	0	0	0	0	0	0.07	0	0	0
FAR2P2	0.37	0	0.19	0.13	0	0.44	0	0	0.01	0	0
FAR2P3	0	0	0	0.34	0	0.29	0	0	0	0	0
FAR2P4	0	0	0	0	0	0	0	0	0	0	0
FARP1	1.28	0.48	0.16	1.36	0.23	0.25	0.72	0	0.07	0	0.06
FARP1-AS1	0	0	0	0	0	0	0	0	0	0	0
FARP2	0.48	7.52	6.86	5.5	0.48	2.89	2.94	0.08	0.1	0.17	0
FARS2	0.37	3.53	2.2	5.23	0.46	1.25	1.34	0	0.42	0.14	0
FARSA	1.78	3.38	4.19	3.82	1.42	0.88	3.07	0	0.1	0	0
FARSA-AS1	0	0	0	0	0	0	0	0	0	0	0
FARSB	0.13	1.51	0.68	1.79	0	0.78	0.62	0	0.07	0.13	0
FARSBP1	0	0	0	0	0	0	0	0	0	0	0
FAS	0.2	2.43	2.22	5.65	1.36	2.24	2.23	0.36	0.14	0.3	0.51
FAS-AS1	0	0	0	0	0	0	0	0	0	0	0
FASLG	0	0.24	0	1.6	0	0.45	0.24	0	0	0	0
FASN	0.22	0.89	3.03	2.2	0.26	0.07	1.45	0.03	0.15	0.07	0
FASTK	0.95	3.34	3.56	4.22	1.06	1.25	4.28	0	0.13	0	0
FASTKD1	1.87	3.25	2.9	5.24	0.77	2.37	1.14	0	0.14	0.23	0
FASTKD2	0.63	2.8	1.63	3.99	1.01	1.46	1.63	0	0.16	0.13	0
FASTKD3	2.14	1.23	0.79	2.33	0	1.53	0.77	0	0	0	0
FASTKD5	0.57	1.87	0.4	3.63	0.88	1.05	0.93	0	0.15	0.3	0
FAT1	0.27	0	0	0	0	0	0	0	0	0	0
FAT1P1	0	0	0	0	0	0	0	0	0	0	0
FAT2	0.21	0.04	0.05	0.19	0	0.02	0.07	0	0	0	0
FAT3	0.02	0	0	0	0	0	0	0	0	0	0
FAT4	0.08	0.07	0.11	0.2	0.03	0.03	0.01	0	0.01	0	0.03
FATE1	0	0	0	0	0	0	0	0	0	0	0
FAU	10.55	32.93	16.83	63.49	24.13	8.66	19.68	0	1.03	2.97	0.41
FAUP1	0	0	1.57	0	0	0	0	0	0	0	0
FAUP2	0	0	0	0	0	0	0	0	0	0	0
FAXC	0.11	0	0	0	0	0	0	0	0	0	0
FAXDC2	10.21	35.39	3.33	13.4	4.99	2.41	4.18	0	0.04	0.13	0
FBF1	0.17	0.98	1.05	1.24	0.24	0.65	0.57	0	0.08	0.04	0
FBL	2.9	9.28	5.98	18.77	3.52	4.59	5.92	0	1.87	0	0
FBLIM1	0.2	0	0	0	0	0	0	0	0	0	0
FBLL1	0	0	0	0	0	0	0	0	0	0	0
FBLN1	0.06	0	0	0	0	0	0	0	0	0	0
FBLN2	0	0.38	0.9	0.62	0	0.28	0.08	0	0	0	0
FBLN5	0	0.04	0	0.94	0	0.15	0.1	0	0	0	0
FBLN7	1.14	0.31	0	0.07	0	0	0.39	0	0	0	0
FBN1	0.19	0.07	0.08	0.06	0	0.01	0.06	0	0	0	0
FBN2	0.06	0.09	1.04	0.53	0.01	0.23	0.57	0	0.05	0.04	0
FBN3	0	0	0	0	0	0	0	0	0	0	0
FBP1	0.11	0.31	1.13	1.94	0.11	0.34	0.65	0	0	0.45	0
FBP2	0	0	0	0	0	0	0	0	0	0	0
FBP2P1	0	0	0	0	0	0	0	0	0	0	0
FBRS	3.2	6.09	7.91	10.39	2.1	3.06	7.72	0	0.36	0.08	0.08
FBRSL1	0.71	2.56	5.15	3.57	1.22	0.28	4.51	0	0.46	2.11	0
FBXL12	0	0.92	0.93	2.21	0.86	0.69	1.01	0	0.06	0.13	0
FBXL13	0	0.91	0	0.9	0	0.27	0.05	0	0	0	0
FBXL14	0.14	0.64	0.94	1.54	0.22	0	0.86	0	0.01	0	0
FBXL15	0.68	0.27	0.34	0.29	0	0	0.34	0	0	0	0
FBXL16	0.04	1.08	0.17	0.95	0.07	0.37	0.5	0	0.01	0	0
FBXL17	3.25	4.46	3.85	8.11	1.35	3.41	2.89	0	0.28	0.16	0
FBXL18	0.79	0.37	0.93	0.93	0.42	0.25	0.6	0	0.01	0	0
FBXL19	0.66	0.94	3.01	0.83	0.55	0.19	1.32	0	0.01	0	0
FBXL19-AS1	0.11	0.37	0.1	0.39	0.15	0.14	0.11	0	0.01	0	0
FBXL2	0.49	0.84	0.7	0.41	0	0.28	0.5	0	0.01	0.1	0
FBXL20	0.69	2.23	2.33	3.87	0.58	2.12	1.81	0.12	0.09	0.14	0.1
FBXL21	0	0	0	0	0	0	0	0	0	0	0
FBXL22	0.2	0.21	0.16	0.37	0	0.08	0.23	0	0	0	0
FBXL3	2.78	4.27	2.73	7.46	0.77	1.81	1.66	0.29	0.31	0.37	0.13
FBXL4	0.84	2.19	1.11	3.1	0.42	1.49	1.3	0.03	0.09	0.15	0.03
FBXL5	2.9	10.3	12.98	24.9	2.44	8.75	7.37	1.9	0.96	0.51	0.2
FBXL6	0.15	0.94	1.21	0.82	1.74	0.12	0.95	0	0	0	0
FBXL7	0	0	0	0	0	0	0	0	0	0	0
FBXL8	0	0.36	0.7	3.3	0.32	0.12	0.56	0	0.04	0.53	0
FBXO10	0	0.33	0.23	0.35	0.18	0.3	0.22	0	0	0	0
FBXO11	0.95	10.87	10.82	20.82	1.54	7.83	8.05	0.57	1.35	1.55	0.75
FBXO15	0	0.3	0	0.17	0	0.18	0.11	0	0.02	0	0
FBXO16	0	0	0	0	0	0	0	0	0	0	0
FBXO17	0.19	0	0	0	0	0	0	0	0	0	0
FBXO18	6.08	4.79	4.19	11.45	2.14	3.93	5.52	0	0.25	1.44	0.53
FBXO2	0	0.7	0.67	0.45	0.2	0.08	0.19	0	0	0	0
FBXO21	0.52	1.97	1.11	2.4	0.46	0.88	1.9	0.04	0.13	0.26	0
FBXO22	0.07	1.54	0.76	4.78	0.48	1.2	1.17	0	0.06	0.06	0.02
FBXO24	0.12	0.11	0.47	0.11	0.3	0	0.07	0	0	0	0
FBXO25	1.37	2.22	0.81	2.13	0.14	0.96	0.95	0	0.39	0.11	0
FBXO27	0	0	0	0	0	0.08	0	0	0	0	0
FBXO28	0.74	3.43	2.37	3.81	1.04	2.45	1.46	0	0.05	0.04	0
FBXO3	0.65	3.74	3.47	6.39	1.33	2.6	2.26	0.36	0.17	0.29	0.3
FBXO3-AS1	0	0	0	0	0	0	0	0	0	0	0
FBXO30	0.11	0.47	0.62	1.11	0.02	0.36	0.46	0.06	0.04	0.09	0.05
FBXO31	1.56	3.59	2.63	2.23	0.27	0.74	1.21	0	0.16	0.08	0
FBXO32	0.09	3.76	1.13	3.49	0.42	0.99	1.02	0	0.16	0	0
FBXO33	0.68	1.45	0.49	2.76	0.92	0.77	1.15	0.07	0.11	0.17	0.06
FBXO34	0	3.65	1.23	2.81	0.58	1.99	2.05	0.56	0.28	0.17	0
FBXO36	0.4	0.14	0	0.14	0	0	0.12	0	0.02	0.12	0
FBXO36-IT1	0	0	0	0	0	0	0	0	0	0	0
FBXO36P1	0	0	0	0	0	0	0	0	0	0	0
FBXO38	0.84	11.12	2.28	10.4	1.16	7.3	3.65	0.06	0.71	1.88	0.25
FBXO39	0.18	0	0	0.17	0	0	0.14	0	0	0	0
FBXO4	0.6	1.12	0.67	1.77	1.11	0.58	0.94	0	0.03	0	0.14
FBXO40	0.27	0.23	0.06	0.17	0.07	0.02	0.07	0	0	0	0
FBXO41	0.9	0.75	1.4	1.58	0.32	0.5	0.83	0	0.03	0.07	0
FBXO42	0.21	2.02	0.96	4.62	0.28	1.72	2.75	0	0.1	0.33	0.04
FBXO43	0.46	0	0	0	0	0	0	0	0	0	0
FBXO44	1.23	2.69	2.1	3.81	0.41	1.35	1.5	0	0.03	0.13	0
FBXO45	0	0.12	0	0.85	0.04	0.16	0.18	0	0.01	0	0
FBXO46	0.34	0.91	1.52	1.14	1.35	1.32	1.53	0	0.12	0	0
FBXO47	0	0	0	0	0	0	0	0	0	0	0
FBXO48	0.18	0.29	0.26	0.54	0	0.22	0.17	0	0	0	0
FBXO5	0.15	0.49	0.39	1.49	0.07	0.41	0.06	0	0.06	0	0
FBXO6	0	0.57	0.97	1.16	0.92	0.58	0.42	0	0	0	0
FBXO7	4.56	13.96	6.92	16.97	4.76	4.71	4.9	0.55	0.92	0.34	0
FBXO8	0.3	2.15	1.36	3.3	0.93	2.08	0.95	0	0.05	0	0
FBXO9	4.56	9.35	11.87	12.2	3.54	7.24	6.12	0	0.36	0.06	0
FBXW10	0.49	0	0	0	0	0.04	0.04	0	0	0	0
FBXW11	0.77	5.96	1.99	5.32	1.25	2.43	1.92	0	0.29	0.2	0
FBXW11P1	0	0	0	0.1	0	0	0	0	0	0	0
FBXW12	0	0	0	0	0	0	0	0	0	0	0
FBXW2	1.11	7.2	2.44	10.09	0.91	3.17	3.22	0.03	0.33	0.11	0.26
FBXW4	2.65	13.95	3.99	13.56	1.18	6.48	6.07	0	0.39	0	0
FBXW4P1	0	0.84	0.53	1.21	0.13	0.21	0.3	0	0.01	0	0
FBXW5	2.04	4.52	6.09	5.82	2.61	0.6	4.58	0	0.08	0.23	0
FBXW7	8.52	27.79	26.55	28.08	5.82	12	8.56	0.79	2.45	2.66	0.18
FBXW8	0.19	1.03	0.66	1.64	0.28	1.85	1.49	0	0.06	0.05	0.05
FBXW9	0	0.1	0.29	0.24	0	0.09	0.32	0	0	0	0
FCAMR	0	0	0	0	0	0	0	0	0	0	0
FCAR	1.16	0.4	2.51	7.53	1.5	0.76	1	0.45	0.2	0	0
FCER1A	0	0.4	2.58	7.33	0	0.22	0.74	0	0.24	0.21	0
FCER1G	10.07	42.82	26.95	66.57	10.84	9.11	16.55	1.2	2.1	2.04	0.56
FCER2	1.08	2.97	0.43	1.42	0.42	1.39	0.91	0	0	0	0
FCF1	2.19	3.11	1.6	3.76	0.74	2.99	2.06	0	0.45	0.53	0
FCF1P1	0	0.38	0	0	0	0	0	0	0	0	0
FCF1P10	0	0	0	0	0	0	0	0	0	0	0
FCF1P2	0	0.55	0.91	3.44	0	0	0.78	0.56	0.04	0	0.53
FCF1P3	0	0	0	0	0	0	0	0	0	0	0
FCF1P4	0	0	0	0	0	0	0	0	0	0	0
FCF1P5	0	1.65	0	1.68	0	1.08	0	0	0	0	0
FCF1P6	0	0	0	0	0	0	0	0	0	0	0
FCF1P7	0	0.39	0	0.67	0.33	0	0.28	0	0.09	0	0
FCF1P8	0	0	0	0	0	0	0	0	0	0	0
FCF1P9	0	0	0	0	0	0	0	0	0	0	0
FCGBP	0	2.02	0.36	0.61	0.15	0.33	0.45	0	0	0	0
FCGR1A	0.07	1.61	0.18	2.46	1.26	0.35	0.69	0	0.11	0	0
FCGR1B	0.41	2.01	1.94	2.68	0.16	0.28	1.55	0	0.01	0	0
FCGR1CP	0	0	0	0.18	0.14	0	0.39	0	0.03	0	0
FCGR2A	2.83	8.5	32.55	27.12	3.6	4.83	8.39	2.03	1.72	1.94	1.34
FCGR2B	0.11	2.29	2.34	3.54	0.37	3.31	2.16	0	0.05	0.05	0
FCGR2C	0.09	9.76	10.88	32.81	1.49	7.99	43.4	0	1.72	1.17	0
FCGR3A	1.7	4.6	27.11	31.39	3.6	12.23	8.57	0.3	0.69	1.82	0.47
FCGR3B	6.8	0	0.38	0.32	0.56	0.12	0.12	1.22	0.02	0	1.94
FCGRT	1.99	4.43	16.36	19.34	1.34	4.2	16.24	0	0.31	0	0
FCHO1	2.37	5.67	7.8	12.99	1.95	4.78	5.81	0	0.29	0	0
FCHO2	0.38	2.99	4.68	1.81	0.67	3.02	1.89	0.6	0.2	0	0.83
FCHSD1	0.36	10.48	6.08	11.87	3	5.37	6.73	0	0.46	1.84	0.09
FCHSD2	4.21	9.88	11.03	9.28	0.92	10.22	5.85	0.31	0.64	0.99	0.38
FCMR	2.41	26.14	13.46	29.74	2.95	13.35	13.34	0.57	1.52	1.01	0
FCN1	4.67	17.65	50.47	88.39	16.28	13.12	62.13	1.48	2.95	2.39	0.19
FCN2	0	0	0	0	0.17	0	0	0	0	0	0
FCN3	0	0	0	0	0	0	0	0	0	0	0
FCRL1	1.94	15.77	5.22	3.23	1.9	12.76	8.63	0.18	0.06	0	0
FCRL2	0.71	2.98	1.66	1.34	0.86	4.64	3.04	0	0	0.1	0
FCRL3	2.18	5.17	7.78	5.3	0.34	4.69	1.85	0	0.11	0.67	0
FCRL4	0	0.04	0	0	0	0	0	0	0	0	0
FCRL5	0.16	2.46	5.02	1.53	0.03	3.14	1.74	0	0.01	0.18	0
FCRL6	0.83	1.73	4.12	11.39	1.01	6.15	1.09	0	0.07	0.11	0
FCRLA	1.82	1.95	2.9	1.18	0.36	0.92	1.5	0	0.19	0	0.15
FCRLB	0	0.21	0	0.34	0	0.06	0.11	0	0	0	0
FDCSP	0	0	0	0	0	0	0	0	0	0	0
FDFT1	3.48	8.85	4.32	10.66	0.23	3.16	3.2	0.18	0.38	0.88	0
FDPS	0	6.19	5.53	6.74	2.44	2.65	4.25	0	0.12	0.41	0
FDPSP1	0	0	0	0	0	0	0	0	0	0	0
FDPSP2	0	0.22	0	0.08	0	0.91	0.64	0	0.02	0	0
FDPSP3	0	0.38	0	0.3	0	0.13	0.13	0	0.45	0.24	0
FDPSP4	0	0	0	0	0	0	0	0	0	0	0
FDPSP5	0	0	0	0	0	0	0	0	0	0	0
FDPSP6	0	0	0	0	0	0	0	0	0	0	0
FDPSP7	0	0	0	0.79	0	0	0.43	0	0	0	0
FDPSP8	0	0	0	0	0	0	0	0	0	0	0
FDX1	0.14	0.52	1.2	0.9	0.09	0.43	0.14	0	0.03	0.13	0
FDX1P1	0	0.99	4.92	1.02	0	0	0.28	0	0.16	0	0
FDX1P2	0	0.67	0	0	0	0	0	0	0	0	0
FDX2	0.32	0.25	0	0.63	0.31	0.27	0.26	0	0	0	0
FDXACB1	0	0.22	0	0.45	0	0.27	0.15	0	0.02	0	0
FDXR	0	0.95	2.91	0.51	0	0.31	0.11	0	0.01	0	0
FECH	0.36	1.04	3.64	1.82	1.3	0.36	0.52	0	0.17	0	0
FECHP1	0	0	0	0	0	0	0	0	0	0	0
FEM1A	0.19	0.04	0.3	0.1	0.14	0.07	0.09	0	0.01	0	0
FEM1AP1	0	0	0	0	0	0	0	0	0	0	0
FEM1AP2	0	0	0	0	0	0	0	0	0	0	0
FEM1AP3	0	0	0	0	0	0	0	0	0	0	0
FEM1AP4	0	0	0	0	0	0	0	0	0	0	0
FEM1B	1.8	3.06	1.03	7.51	0.39	2.04	1.48	0.07	0.13	0.51	0.09
FEM1C	0.45	1.07	1.16	3.51	0.52	0.75	0.98	0.13	0.17	0.18	0.08
FEN1	1.32	0.41	0.86	1.1	0.07	0.15	0.05	0	0.02	0	0
FEN1P1	0	0	0	0	0	0	0	0	0	0	0
FENDRR	0	0	0	0	0	0	0	0	0	0	0
FER	0.8	5.69	2.23	5.77	0.2	2.85	1.51	0	0.18	0.64	0
FER1L4	0	0.33	0	0.12	0	0.36	0.06	0	0	0	0
FER1L5	0	0	0	0.02	0	0	0	0	0	0	0
FER1L6	0	0	0	0	0	0	0	0	0	0	0
FER1L6-AS1	0	0	0	0	0	0	0	0	0	0	0
FER1L6-AS2	0	0	0	0	0	0	0	0	0	0	0
FERD3L	0	0	0	0	0	0	0	0	0	0	0
FERMT1	0	0	0	0	0.03	0	0	0	0	0	0
FERMT2	0.34	0.06	0	0.04	0	0	0	0	0	0	0
FERMT3	16.05	53.42	12.96	21.65	15.22	2.91	14.11	0	0.42	0.83	0.38
FERP1	0	0.39	0	3.12	0	1.02	1.73	0	0.01	0	0
FES	3.09	2.97	11.33	9.36	3.44	0.76	5.91	0	0.09	0.1	0
FETUB	0	0	0	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	0	0	0	0
FEZ1	0.55	0	2.65	1.61	0	0.74	0.43	0	0	0	0
FEZ2	1.34	4.79	3.72	7.42	1.74	3.64	2.01	0	0.2	0	0.41
FEZF1	0	0	0	0	0	0	0	0	0	0	0
FEZF1-AS1	0	0	0	0	0	0	0	0	0	0	0
FEZF2	0.39	0	0	0	0	0	0	0	0	0	0
FFAR1	0.19	0	0.51	0	0	0	0.05	0	0.01	0	0
FFAR2	0.37	0.13	0	3.68	3.67	0	0.22	0.4	0.13	0.11	3.05
FFAR3	0.45	0.05	0.36	0.06	0.27	0	0	0	0	0	0
FFAR4	0	0	0.21	0.04	0	0	0	0	0	0	0
FGA	0.08	0	0	0	0	0	0	0	0	0	0
FGB	0	0	0	0	0	0	0	0	0	0	0
FGD1	0	0.04	0	0.12	0	0.05	0.15	0	0.01	0	0
FGD2	1.48	6.23	18.65	16.73	3.13	5.77	15.07	0.23	0.16	0.22	0.09
FGD3	1.86	8.21	9.41	19.66	3.31	5.34	12.23	0	0.72	0.65	0.05
FGD4	2.72	3.18	9.09	4.72	1.43	1.76	3.86	0.15	0.21	0.17	0
FGD5	0	0.04	0	0	0.07	0	0	0	0	0	0
FGD5-AS1	2.22	9.66	4.51	9.17	2.18	3.68	3.01	0.18	0.25	0.45	0
FGD5P1	0	0	0	0	0	0.05	0	0	0	0	0
FGD6	0.21	0.46	2.01	1.76	0.37	0.85	0.42	0	0.11	0.28	0
FGF1	0.04	0	0	0	0	0	0	0	0	0	0
FGF10	0	0	0	0	0	0	0	0	0	0	0
FGF10-AS1	0	0	0	0	0	0	0	0	0	0	0
FGF11	0.86	0.03	0.17	0.21	0	0	0.2	0	0	0	0
FGF12	0.08	0	0	0	0	0	0	0	0	0	0
FGF12-AS1	0	0	0	0	0	0	0	0	0	0	0
FGF12-AS2	0	0	0	0	0	0	0	0	0	0	0
FGF12-AS3	0	0	0	0	0	0	0	0	0	0	0
FGF13	0.01	0	0	0.21	0	0	0	0	0.01	0	0
FGF13-AS1	0	0	0	0	0	0	0	0	0	0	0
FGF14	0.21	0	0	0	0	0	0	0	0	0	0
FGF14-AS1	0	0	0	0	0	0	0	0	0	0	0
FGF14-AS2	0	0	0	0	0	0.12	0	0	0	0	0
FGF14-IT1	0.17	0	0	0	0.09	0	0	0	0	0	0
FGF16	0	0	0	0	0	0	0	0	0	0	0
FGF17	0	0.03	0	0	0	0	0	0	0	0	0
FGF18	0.15	0.05	0	0	0	0	0	0	0	0	0
FGF19	0	0	0	0	0	0	0	0	0	0	0
FGF2	0.38	0.53	0.22	0.13	0.04	0	0.05	0	0	0	0
FGF20	1.36	0	0	0	0	0	0	0	0	0	0
FGF21	0	0	0	0	0	0	0	0	0	0	0
FGF22	0	0	0.33	0	0	0	0	0	0	0	0
FGF23	0.1	0	0	0	0	0	0	0	0	0	0
FGF3	0	0	0	0	0	0	0	0	0	0	0
FGF4	0.09	0	0	0	0	0	0	0	0	0	0
FGF5	0.39	0	0	0	0	0	0	0	0	0	0
FGF6	0	0	0	0	0	0	0	0	0	0	0
FGF7	0.61	0	0	0	0	0	0.11	0	0	0	0
FGF7P1	0	0	0	0	0	0	0	0	0	0	0
FGF7P2	0	0	0	0	0	0	0	0	0	0	0
FGF7P3	0	0	0	0	0	0	0	0	0	0	0
FGF7P4	0	0	0	0	0	0	0	0	0	0	0
FGF7P5	0	0.32	0	0	0	0	0	0	0	0	0
FGF7P6	0.67	0.19	0	0.6	0	0.1	0	0	0	0	0
FGF7P7	0	0	0	0	0	0	0	0	0	0	0
FGF7P8	0	0	0	0	0	0.97	0	0	0	0	0
FGF8	0	0	0	0	0	0	0	0	0	0	0
FGF9	0.07	0.02	0	0.52	0	0.05	0	0	0.01	0.05	0
FGFBP1	0.11	0	0	0	0	0	0	0	0	0	0
FGFBP2	3.11	2.76	6.62	10.46	1.23	3.09	2.33	0	0.29	0	0
FGFBP3	0.23	0.21	0	0.05	0	0.14	0.04	0	0	0	0
FGFR1	4.73	1.69	2.49	4.21	0.03	0.5	1.78	0	0.09	0	0
FGFR1OP	0.14	2.22	1.93	2.13	0.23	2.1	1.1	0	0.09	0.31	0
FGFR1OP2	1.97	8.39	9.44	10.51	1.36	4.69	3.04	0.48	0.52	0.39	0
FGFR1OP2P1	0	0	0	0	0	0	0	0	0	0	0
FGFR2	0.08	0	0	0.14	0	0.17	0.07	0	0	0	0
FGFR3	0	0	0	0	0	0	0	0	0	0	0
FGFR3P1	0	0	0	0	0	0	0	0	0	0	0
FGFR3P5	0	0	0	0	0	0	0	0	0	0	0
FGFR3P6	0	0	0	0	0	0	0	0	0	0	0
FGFR4	0	0.6	0	0.34	0	0	0.52	0	0	0	0
FGFRL1	0.45	1.35	1.72	1.17	0.7	0.07	1.11	0	0.04	0	0
FGG	0.77	0	0	0	0	0	0	0	0	0	0
FGGY	1.28	1.34	1	1.96	0.26	0.99	0.54	0	0.08	0	0
FGL1	0	0	0	0	0	0	0	0	0	0	0
FGL2	1.64	5.05	14.84	41.6	2.03	8.23	11.12	0.55	1.59	2.05	0.26
FGR	6.15	12.07	36.03	45.22	6.04	17.58	28.55	0.23	0.65	0.77	0
FH	0.42	0.96	4.18	1.54	0.17	1.22	0.64	0	0.06	0.13	0.13
FHAD1	0	0.03	0.33	0.36	0	0.1	0	0	0.06	0	0
FHDC1	0.04	0	0	0	0.04	0.03	0	0	0	0	0
FHIT	0.31	4.38	0.25	3.59	0.28	1.58	1.18	0	0.06	0.07	0
FHL1	8.64	16.46	1.89	5.12	2.74	1.17	4.01	0	0.17	0.1	0
FHL2	1.09	1.17	0.31	1.17	0.24	0.44	0.09	0	0	0	0
FHL3	0	1.06	3.05	2.64	0	0.59	2.3	0	0.16	0	0
FHL5	0	0	0	0	0	0	0	0	0	0	0
FHOD1	3.03	5.59	8.99	9.97	3.98	2.42	3.16	0	0.43	0	0
FHOD3	0.26	0	0	0	0	0	0	0	0	0	0
FHP1	0	0	0	0	0	0	0	0	0	0	0
FIBCD1	0	0.18	0	0	0	0	0	0	0	0	0
FIBIN	0	0	0	0	0	0	0	0	0	0	0
FIBP	2.29	1.92	12.69	5.67	3.2	2.24	3.25	0	0.08	2.03	0
FICD	0	0.5	0.22	0.98	0.09	0.34	0.5	0	0.04	0	0
FIG4	0.24	3.02	4.91	5.12	0.24	3.13	3.72	0	0.09	0	0.4
FIGLA	0	0	0	0	0	0	0	0	0	0	0
FIGN	0.23	0	0	0	0	0	0	0	0	0	0
FIGNL1	0.12	1.81	1.51	1.89	1	1.1	0.54	0	0.09	0.07	0
FIGNL2	0	0.14	0	0	0.16	0	0.18	0	0	0	0
FILIP1	0.08	0.08	0	0.11	0	0.06	0	0	0	0.05	0
FILIP1L	0.09	0.59	0.34	1.21	0.39	1.6	1.19	0	0.07	0.19	0
FIP1L1	5.97	15.03	8.83	14.7	2.64	8.18	6.29	0.98	1.27	0.5	0.39
FIRRE	0.28	0.3	0	0.27	0	0	0.32	0	0	0	0
FIS1	3.77	3.8	2	3.11	2.13	1.95	3.05	0	0.13	0	0
FITM1	0	0.12	0	0	0	0	0	0	0	0	0
FITM2	0.03	0.36	0.33	1.23	0.03	0.25	0.33	0	0	0.05	0
FIZ1	0	0.91	0	0.39	0.22	0.66	0.48	0.1	0	0	0
FJX1	0	0	0	0	0	0	0	0	0	0	0
FKBP10	0	0	2.75	0	0	0	0	0	0	0	0
FKBP11	0.77	3.07	1.95	4.89	1.74	3.79	5.06	0.2	0.3	0.16	0
FKBP14	0.82	1.02	0.4	1.33	0.06	0.41	0.67	0	0	0.04	0
FKBP15	0.71	3.77	9.86	9.48	0.84	4.71	6.28	0.56	0.21	0.28	0.13
FKBP1A	13.34	31	18.94	36.15	6.14	10.16	12.09	0	0.66	1.52	0
FKBP1AP1	0	0	0	0	0	0	0	0	0.16	0	0
FKBP1AP2	0	0	0	1.28	0	0	0	0	0	0	0
FKBP1AP3	0	0	0	0	0	0	0	0	0	0	0
FKBP1AP4	0	0	0	0	0	0	0	0	0	0	0
FKBP1B	2.05	3.12	0	0.92	0.19	0.15	0.93	0	0	0	0
FKBP1BP1	0	0	0	0	0	0	0	0	0	0	0
FKBP1C	0	0.14	0	0.15	0	0.07	0.08	0	0	0	0
FKBP2	0	2.59	6.38	1.25	1.11	0.5	1.34	0.5	0	0	0.47
FKBP3	1.88	8.12	3.79	8.24	1.33	2.51	1.75	0.21	0.05	0.17	0
FKBP4	0.16	1.83	2.79	2.53	0.42	1.11	2.01	0	0.21	0.06	0
FKBP4P1	0	0.07	0	0	0	0	0	0	0	0	0
FKBP4P2	0	0	0	0	0	0	0	0	0	0	0
FKBP4P6	0.47	0	0	0	0	0	0	0	0	0	0
FKBP4P7	0	0	0	0	0	0	0	0	0	0	0
FKBP4P8	0	0	0	0	0	0	0	0	0	0	0
FKBP5	1.2	8.98	5.19	11.08	1.34	3.54	5.19	0.21	0.63	0.44	0.24
FKBP6	0	0	0	0	0	0	0	0	0	0	0
FKBP7	0.14	0.09	0	0.64	0	0.04	0	0	0	0	0
FKBP8	19.68	13.75	15.26	13.8	7.6	1.11	8	0.22	0.18	0.18	0
FKBP9	0.82	0.83	0.43	0.8	0.52	0.8	0	0	0	0	0
FKBP9P1	0	0	0	0	0	0	0	0	0	0	0
FKBPL	0.35	0	0	0	0	0	0	0	0	0	0
FKRP	0.57	1.59	2.08	4.05	0.13	0.98	1.4	0	0.09	0.55	0
FKTN	0.25	1.75	0.85	1.92	0.06	2.17	1.15	1.13	0.08	0.03	1.24
FLAD1	1.81	3.44	2.97	3.05	1.67	2.12	0.93	0	0.03	0	0
FLCN	7.59	1.82	3.47	8.68	1.31	0.8	4.5	0	0.04	0.12	0
FLG	0	0	0	0.01	0	0.03	0	0	0	0	0
FLG-AS1	0	0	0	0	0	0.04	0	0	0	0	0
FLG2	0.11	0	0	0	0	0	0	0	0	0	0
FLI1	4.58	21.84	15.54	25.78	3.98	7.35	9.36	0.25	0.57	0.69	0.99
FLII	13.87	16.82	34.91	29.88	6.91	10.06	19.34	0.98	1.79	1.64	0.53
FLJ12825	0.11	0	0	0.13	0	0	0	0	0	0	0
FLJ13224	0.1	0.07	0.65	0.28	0.21	0	0.38	0	0	0	0
